pregunta,respuesta;;;;
No es una forma de transmisión del VIH,Beso;;;;
¿A quién le puede dar VIH u otra ITS?,Cualquier persona;;;;
A que edad tenemos derecho a recibir asesoría y educación en salud sexual y reproductiva,Todas;;;;
También denominado cérvix,Cuello uterino;;;;
Glándula que produce el semen,Próstata;;;;
Crecimiento maligno de la glándula prostática,Cáncer próstata;;;;
La asesoría y prueba voluntaria para VIH es un,Derecho;;;;
Régimen de solo progestinas son píldoras que contienen:,Levonorgestrel o desogestrel;;;;
Principal acción preventiva contra el cáncer de cuello uterino,Vacuna VPH;;;;
Uso simultáneo del condón y otro método anticonceptivo de alta eficacia,Doble protección;;;;
Examen para estudiar las células del cuello uterino,Citología;;;;
La sífilis ___________ se puede prevenir si se detecta a tiempo en el embarazo,Congénita;;;;
Sustancias hormonales de aplicación intramuscular que evitan embarazos,Anticonceptivos inyectables;;;;
Glándula sexual femenina,Ovarios;;;;
Método de barrera,Condón;;;;
El Ministerio de Salud y Protección Social las hace para prevenir y atender las violencias de género,Acciones intersectoriales;;;;
Obstáculo frecuente e importante para la IVE presente en las mujeres y funcionarios de salud,Desconocimiento;;;;
Anticonceptivo usado después de la relación sexual sin protección hasta 5 días después.,Anticoncepción de emergencia;;;;
Todavía se presenta más de lo que se debe en los recién nacidos,Sífilis;;;;
Cáncer no invasivo,In situ;;;;
Acciones basadas en desigualdad y discriminación por razón de género que producen daño,Violencia de género;;;;
Preservativo,Condón;;;;
El requisito para acceder a una IVE por causal salud es expedida por profesionales de:,Medicina o psicología;;;;
Dolor al eyacular u orinar es un signo de alarma para el cáncer de:,Próstata;;;;
La participación es una característica clave de los servicios_____,Amigables;;;;
Es muy importante después de la práctica de la IVE,Anticoncepción;;;;
Si tengo una ITS debo acudir al,Médico;;;;
Extracción de una muestra de tejido para ser examinado al microscopio,Biopsia;;;;
Se hace junto con el antígeno prostático para detectar tempranamente el cáncer de próstata,Tacto rectal;;;;
Autorización de las mujeres para que les coloquen el DIU o el implante subdérmico,Consentimiento informado;;;;
Indicador de sospecha de abuso en un niño o niña,Lesiones genitales;;;;
Si no recibo tratamiento adecuado y oportunamente la infección por VPH me puede dar:,Cáncer;;;;
Método definitivo de anticoncepción,Esterilización;;;;
Es el enfoque base en la política PAIS. en el Plan decenal y en la Política nacional de sexualidad.Derechos sexuales y Derechos reproductivos,Diferencial;;;;
El médico debe garantizarla siempre pero especialmente en las mujeres que acceden a IVE,Confidencialidad;;;;
Se realiza para la detección temprana del cáncer de mama,Autoexamen;;;;
Nos permite evidenciar las desventajas para mujeres y hombres que se basan en lo que cada cultura espera y define de lo que es ser mujer y ser varón,Enfoque de género;;;;
Si uso vaselina o aceite para lubricar el condón se puede,Romper;;;;
Norma principal que decidió sobre la interrupción voluntaria del embarazo en Colombia,Sentencia C355;;;;
A donde debe acudir primero una víctima de violencia sexual,Salud;;;;
Vigila que se cumpla la normatividad relacionada con la interrupción voluntaria del embarazo,Supersalud;;;;
Es un factor de riesgo no modificable para el cáncer de próstata,Edad;;;;
Con frecuencia las ITS pueden ocurrir sin,Síntomas;;;;
Quien debe asistir a un niño.niña o adolescente víctima de violencia de género,Defensor de Familia;;;;
Pastillas para evitar embarazos no deseados,Píldoras anticonceptivas;;;;
Construcción social de lo que es femenino y masculino,Género;;;;
Proliferación anormal y desordenada de células mamarias malignas,Cáncer mama;;;;
Examen que se hace a las mujeres entre 30-59 años para detectar cáncer de mama,Mamografía;;;;
El control prenatal se debe iniciar antes de las _______ semanas de gestación,Diez;;;;
Causal para la interrupción legal del embarazo en Colombia,Malformación grave;;;;
La anticoncepción de emergencia debe ir acompañada de una consulta de:,Consejería;;;;
Servicios donde los adolescentes pueden acceder a consulta de anticoncepción,Servicios amigables;;;;
Daño o sufrimiento causado por un familiar,Violencia intrafamiliar;;;;
Es necesaria para tener una sexualidad segura y libre,Autonomía;;;;
Derecho a decidir si quedar embarazada o no,Autonomía reproductiva;;;;
Se considera una condición humana,Sexualidad;;;;
Ayuda a prevenir los defectos del sistema nervioso central del bebe,Acido fólico;;;;
Una medida clave para prevenir las ITS es el uso de,Condón;;;;
No es considerado un método eficaz para la prevención de un embarazo,Coito interrumpido;;;;
Si tengo relaciones sexuales no protegidas puedo tener como consecuencia,Infecciones de transmisión sexual;;;;
Si abusas en su consumo aumenta el riesgo de desarrollar cáncer,Alcohol;;;;
Permiten controlar la fertilidad y el espaciamiento entre uno y otro embarazo,Métodos anticonceptivos;;;;
No debo usar un condón si está,Vencido;;;;
Las ITS son fácilmente,Prevenibles;;;;
Cáncer más común que se presenta entre las mujeres,Cáncer mama;;;;
Anticonceptivos que pueden usar las mujeres lactantes,Solo progestágenos;;;;
Causal para la interrupción legal del embarazo en Colombia,Violación;;;;
La certificación de una malformación fetal grave como causal para IVE debe ser emitida por:,Médico;;;;
Algunas ITS se pueden transmitir a través de la,Sangre;;;;
Método anticonceptivo que se coloca debajo de la piel del brazo,Implante subdérmico;;;;
¿Cuál es la principal causa de muerte materna en Colombia?,Preeclampsia;;;;
Lo que se debe mantener y transmitir en un ataque con agentes químicos,Calma;;;;
Especialista en mama,Mastólogo;;;;
Dispositivos usados como protección para impedir una concepción o un embarazo,Métodos anticonceptivos;;;;
¿Cuál es la principal causa de muerte materna en el mundo?,Hemorragia;;;;
Recibir información clara, atención integral y asesoría jurídica son,Derechos;;;;
Persona que siente atracción o afecto por alguien del sexo contrario.,Heterosexual;;;;
La infección por este agente se ha asociado con microcefalia en los bebes,Virus Zika;;;;
